fy,diameter,fc,member_type,Lpb,Lpt,Ldc,Lpc
500,D10,27,FOOTING,370,470,250,410
500,D13,27,FOOTING,470,610,320,540
500,D16,27,FOOTING,580,750,390,660
500,D19,27,FOOTING,690,890,460,780
500,D22,27,FOOTING,1090,1420,530,910
500,D25,27,FOOTING,1410,1830,610,1030
500,D29,27,FOOTING,1900,2470,700,1190
500,D32,27,FOOTING,2310,3000,770,1320
500,D35,27,FOOTING,2760,3590,850,1440
500,D10,27,BEAM_COLUMN,610,790,250,410
500,D13,27,BEAM_COLUMN,790,1020,320,540
500,D16,27,BEAM_COLUMN,970,1250,390,660
500,D19,27,BEAM_COLUMN,1150,1490,460,780
500,D22,27,BEAM_COLUMN,1660,2150,530,910
500,D25,27,BEAM_COLUMN,1880,2440,610,1030
500,D29,27,BEAM_COLUMN,2180,2830,700,1190
500,D32,27,BEAM_COLUMN,2410,3130,770,1320
500,D35,27,BEAM_COLUMN,2630,3420,850,1440
500,D10,27,SLAB_WALL,370,470,250,410
500,D13,27,SLAB_WALL,580,750,320,540
500,D16,27,SLAB_WALL,830,1080,390,660
500,D19,27,SLAB_WALL,1110,1440,460,780
500,D22,27,SLAB_WALL,1760,2290,530,910
500,D25,27,SLAB_WALL,2170,2820,610,1030
500,D29,27,SLAB_WALL,2750,3570,700,1190
500,D32,27,SLAB_WALL,3210,4170,770,1320
500,D35,27,SLAB_WALL,3680,4790,850,1440
500,D10,30,FOOTING,350,450,230,410
500,D13,30,FOOTING,450,580,300,540
500,D16,30,FOOTING,550,720,370,660
500,D19,30,FOOTING,650,850,440,780
500,D22,30,FOOTING,1040,1350,510,910
500,D25,30,FOOTING,1340,1740,580,1030
500,D29,30,FOOTING,1800,2340,670,1190
500,D32,30,FOOTING,2190,2850,740,1320
500,D35,30,FOOTING,2620,3410,800,1440
500,D10,30,BEAM_COLUMN,570,750,230,410
500,D13,30,BEAM_COLUMN,750,970,300,540
500,D16,30,BEAM_COLUMN,920,1190,370,660
500,D19,30,BEAM_COLUMN,1090,1410,440,780
500,D22,30,BEAM_COLUMN,1570,2040,510,910
500,D25,30,BEAM_COLUMN,1790,2320,580,1030
500,D29,30,BEAM_COLUMN,2070,2690,670,1190
500,D32,30,BEAM_COLUMN,2280,2970,740,1320
500,D35,30,BEAM_COLUMN,2500,3240,800,1440
500,D10,30,SLAB_WALL,350,450,230,410
500,D13,30,SLAB_WALL,550,710,300,540
500,D16,30,SLAB_WALL,790,1020,370,660
500,D19,30,SLAB_WALL,1050,1360,440,780
500,D22,30,SLAB_WALL,1670,2170,510,910
500,D25,30,SLAB_WALL,2060,2680,580,1030
500,D29,30,SLAB_WALL,2610,3390,670,1190
500,D32,30,SLAB_WALL,3040,3950,740,1320
500,D35,30,SLAB_WALL,3490,4540,800,1440
500,D10,35,FOOTING,320,420,220,410
500,D13,35,FOOTING,420,540,280,540
500,D16,35,FOOTING,510,660,340,660
500,D19,35,FOOTING,610,790,410,780
500,D22,35,FOOTING,960,1250,470,910
500,D25,35,FOOTING,1240,1610,530,1030
500,D29,35,FOOTING,1670,2170,620,1190
500,D32,35,FOOTING,2030,2640,680,1320
500,D35,35,FOOTING,2430,3150,740,1440
500,D10,35,BEAM_COLUMN,530,690,220,410
500,D13,35,BEAM_COLUMN,690,900,280,540
500,D16,35,BEAM_COLUMN,850,1100,340,660
500,D19,35,BEAM_COLUMN,1010,1310,410,780
500,D22,35,BEAM_COLUMN,1460,1890,470,910
