fy,diameter,fc,member_type,Ldb,Ldt,Ldh,Ldc
500,D29,24,SLAB_WALL,2240,2920,720,740
500,D32,24,SLAB_WALL,2620,3400,790,820
500,D35,24,SLAB_WALL,3010,3910,860,900
500,D10,27,FOOTING,300,370,240,250
500,D13,27,FOOTING,370,470,310,320
500,D16,27,FOOTING,450,580,370,390
500,D19,27,FOOTING,530,690,440,460
500,D22,27,FOOTING,840,1090,510,530
500,D25,27,FOOTING,1090,1410,580,610
500,D29,27,FOOTING,1460,1900,670,700
500,D32,27,FOOTING,1780,2310,740,770
500,D35,27,FOOTING,2130,2760,810,850
500,D10,27,BEAM_COLUMN,470,610,240,250
500,D13,27,BEAM_COLUMN,610,790,310,320
500,D16,27,BEAM_COLUMN,740,970,370,390
500,D19,27,BEAM_COLUMN,880,1150,440,460
500,D22,27,BEAM_COLUMN,1280,1660,510,530
500,D25,27,BEAM_COLUMN,1450,1880,580,610
500,D29,27,BEAM_COLUMN,1680,2180,670,700
500,D32,27,BEAM_COLUMN,1850,2410,740,770
500,D35,27,BEAM_COLUMN,2030,2630,810,850
500,D10,27,SLAB_WALL,300,370,240,250
500,D13,27,SLAB_WALL,450,580,310,320
500,D16,27,SLAB_WALL,640,830,370,390
500,D19,27,SLAB_WALL,850,1110,440,460
500,D22,27,SLAB_WALL,1360,1760,510,530
500,D25,27,SLAB_WALL,1670,2170,580,610
500,D29,27,SLAB_WALL,2120,2750,670,700
500,D32,27,SLAB_WALL,2470,3210,740,770
500,D35,27,SLAB_WALL,2830,3680,810,850
500,D10,30,FOOTING,300,350,220,230
500,D13,30,FOOTING,350,450,290,300
500,D16,30,FOOTING,430,550,360,370
500,D19,30,FOOTING,500,650,420,440
500,D22,30,FOOTING,800,1040,490,510
500,D25,30,FOOTING,1030,1340,550,580
500,D29,30,FOOTING,1390,1800,640,670
500,D32,30,FOOTING,1690,2190,710,740
500,D35,30,FOOTING,2020,2620,770,800
500,D10,30,BEAM_COLUMN,440,570,220,230
500,D13,30,BEAM_COLUMN,570,750,290,300
500,D16,30,BEAM_COLUMN,710,920,360,370
500,D19,30,BEAM_COLUMN,840,1090,420,440
500,D22,30,BEAM_COLUMN,1210,1570,490,510
500,D25,30,BEAM_COLUMN,1370,1790,550,580
500,D29,30,BEAM_COLUMN,1590,2070,640,670
500,D32,30,BEAM_COLUMN,1760,2280,710,740
500,D35,30,BEAM_COLUMN,1920,2500,770,800
500,D10,30,SLAB_WALL,300,350,220,230
500,D13,30,SLAB_WALL,420,550,290,300
500,D16,30,SLAB_WALL,610,790,360,370
500,D19,30,SLAB_WALL,810,1050,420,440
500,D22,30,SLAB_WALL,1290,1670,490,510
500,D25,30,SLAB_WALL,1580,2060,550,580
500,D29,30,SLAB_WALL,2010,2610,640,670
500,D32,30,SLAB_WALL,2340,3040,710,740
500,D35,30,SLAB_WALL,2690,3490,770,800
500,D10,35,FOOTING,300,320,210,220
500,D13,35,FOOTING,320,420,270,280
500,D16,35,FOOTING,390,510,330,340
500,D19,35,FOOTING,470,610,390,410
500,D22,35,FOOTING,740,960,450,470
500,D25,35,FOOTING,960,1240,510,530
500,D29,35,FOOTING,1280,1670,590,620
500,D32,35,FOOTING,1560,2030,650,680
500,D35,35,FOOTING,1870,2430,710,740
500,D10,35,BEAM_COLUMN,410,530,210,220
500,D13,35,BEAM_COLUMN,530,690,270,280
500,D16,35,BEAM_COLUMN,650,850,330,340
500,D19,35,BEAM_COLUMN,780,1010,390,410
500,D22,35,BEAM_COLUMN,1120,1460,450,470
500,D25,35,BEAM_COLUMN,1270,1650,510,530
500,D29,35,BEAM_COLUMN,1480,1920,590,620
500,D32,35,BEAM_COLUMN,1630,2110,650,680
500,D35,35,BEAM_COLUMN,1780,2310,710,740
500,D10,35,SLAB_WALL,300,320,210,220
500,D13,35,SLAB_WALL,390,510,270,280
500,D16,35,SLAB_WALL,560,730,330,340
500,D19,35,SLAB_WALL,750,970,390,410
500,D22,35,SLAB_WALL,1190,1550,450,470
500,D25,35,SLAB_WALL,1470,1910,510,530
500,D29,35,SLAB_WALL,1860,2420,590,620
500,D32,35,SLAB_WALL,2170,2820,650,680
500,D35,35,SLAB_WALL,2490,3240,710,740
500,D10,40,FOOTING,300,300,190,200
500,D13,40,FOOTING,300,390,250,260
500,D16,40,FOOTING,370,480,310,320
500,D19,40,FOOTING,440,570,370,380
500,D22,40,FOOTING,690,900,420,440
500,D25,40,FOOTING,890,1160,480,500
500,D29,40,FOOTING,1200,1560,560,580
500,D32,40,FOOTING,1460,1900,610,640
500,D35,40,FOOTING,1750,2270,670,710
500,D10,40,BEAM_COLUMN,380,500,190,200
500,D13,40,BEAM_COLUMN,500,650,250,260
500,D16,40,BEAM_COLUMN,610,790,310,320
500,D19,40,BEAM_COLUMN,730,940,370,380
500,D22,40,BEAM_COLUMN,1050,1360,420,440
500,D25,40,BEAM_COLUMN,1190,1550,480,500
500,D29,40,BEAM_COLUMN,1380,1790,560,580
500,D32,40,BEAM_COLUMN,1520,1980,610,640
500,D35,40,BEAM_COLUMN,1670,2160,670,710
500,D10,40,SLAB_WALL,300,300,190,200
500,D13,40,SLAB_WALL,370,480,250,260
500,D16,40,SLAB_WALL,530,680,310,320
500,D19,40,SLAB_WALL,700,910,370,380
500,D22,40,SLAB_WALL,1120,1450,420,440
500,D25,40,SLAB_WALL,1370,1780,480,500
500,D29,40,SLAB_WALL,1740,2260,560,580
500,D32,40,SLAB_WALL,2030,2640,610,640
500,D35,40,SLAB_WALL,2330,3030,670,710
600,D10,21,FOOTING,380,500,320,330
600,D13,21,FOOTING,500,640,410,430
600,D16,21,FOOTING,610,790,510,530
600,D19,21,FOOTING,720,940,600,630
600,D22,21,FOOTING,1150,1490,700,730
600,D25,21,FOOTING,1480,1920,790,820
600,D29,21,FOOTING,1990,2580,920,950
600,D32,21,FOOTING,2420,3140,1010,1050
600,D35,21,FOOTING,2890,3760,1100,1150
600,D10,21,BEAM_COLUMN,630,820,320,330
600,D13,21,BEAM_COLUMN,820,1070,410,430
600,D16,21,BEAM_COLUMN,1010,1310,510,530
600,D19,21,BEAM_COLUMN,1200,1560,600,630
600,D22,21,BEAM_COLUMN,1730,2250,700,730
600,D25,21,BEAM_COLUMN,1970,2560,790,820
600,D29,21,BEAM_COLUMN,2280,2970,920,950
600,D32,21,BEAM_COLUMN,2520,3270,1010,1050
600,D35,21,BEAM_COLUMN,2750,3580,1100,1150
600,D10,21,SLAB_WALL,380,500,320,330
600,D13,21,SLAB_WALL,610,790,410,430
600,D16,21,SLAB_WALL,870,1130,510,530
600,D19,21,SLAB_WALL,1160,1500,600,630
600,D22,21,SLAB_WALL,1840,2400,700,730
600,D25,21,SLAB_WALL,2270,2950,790,820
600,D29,21,SLAB_WALL,2880,3740,920,950
600,D32,21,SLAB_WALL,3360,4360,1010,1050
600,D35,21,SLAB_WALL,3850,5010,1100,1150
600,D10,24,FOOTING,360,460,300,310
600,D13,24,FOOTING,460,600,390,400
600,D16,24,FOOTING,570,740,480,490
600,D19,24,FOOTING,680,880,560,590
600,D22,24,FOOTING,1070,1390,650,680
600,D25,24,FOOTING,1380,1800,740,770
600,D29,24,FOOTING,1860,2420,860,890
600,D32,24,FOOTING,2260,2940,950,980
600,D35,24,FOOTING,2710,3520,1030,1080
600,D10,24,BEAM_COLUMN,590,770,300,310
600,D13,24,BEAM_COLUMN,770,1000,390,400
600,D16,24,BEAM_COLUMN,950,1230,480,490
600,D19,24,BEAM_COLUMN,1120,1460,560,590
600,D22,24,BEAM_COLUMN,1620,2110,650,680
600,D25,24,BEAM_COLUMN,1840,2390,740,770
600,D29,24,BEAM_COLUMN,2140,2780,860,890
600,D32,24,BEAM_COLUMN,2360,3060,950,980
600,D35,24,BEAM_COLUMN,2580,3350,1030,1080
600,D10,24,SLAB_WALL,360,460,300,310
600,D13,24,SLAB_WALL,570,740,390,400
600,D16,24,SLAB_WALL,810,1050,480,490
600,D19,24,SLAB_WALL,1080,1410,560,590
600,D22,24,SLAB_WALL,1730,2240,650,680
600,D25,24,SLAB_WALL,2120,2760,740,770
600,D29,24,SLAB_WALL,2690,3500,860,890
600,D32,24,SLAB_WALL,3140,4080,950,980
600,D35,24,SLAB_WALL,3610,4690,1030,1080
600,D10,27,FOOTING,340,440,280,290
600,D13,27,FOOTING,440,570,370,380
600,D16,27,FOOTING,540,700,450,470
600,D19,27,FOOTING,640,830,530,550
600,D22,27,FOOTING,1010,1310,610,640
600,D25,27,FOOTING,1300,1690,700,730
600,D29,27,FOOTING,1750,2280,810,840
600,D32,27,FOOTING,2130,2770,890,930
600,D35,27,FOOTING,2550,3310,970,1020
600,D10,27,BEAM_COLUMN,560,730,280,290
600,D13,27,BEAM_COLUMN,730,940,370,380
600,D16,27,BEAM_COLUMN,890,1160,450,470
600,D19,27,BEAM_COLUMN,1060,1370,530,550
600,D22,27,BEAM_COLUMN,1530,1990,610,640
600,D25,27,BEAM_COLUMN,1740,2260,700,730
600,D29,27,BEAM_COLUMN,2010,2620,810,840
600,D32,27,BEAM_COLUMN,2220,2890,890,930
600,D35,27,BEAM_COLUMN,2430,3160,970,1020
600,D10,27,SLAB_WALL,340,440,280,290
600,D13,27,SLAB_WALL,540,690,370,380
600,D16,27,SLAB_WALL,770,990,450,470
600,D19,27,SLAB_WALL,1020,1330,530,550
600,D22,27,SLAB_WALL,1630,2110,610,640
600,D25,27,SLAB_WALL,2000,2600,700,730
600,D29,27,SLAB_WALL,2540,3300,810,840
600,D32,27,SLAB_WALL,2960,3850,890,930
600,D35,27,SLAB_WALL,3400,4420,970,1020
600,D10,30,FOOTING,320,420,270,280
600,D13,30,FOOTING,420,540,350,360
600,D16,30,FOOTING,510,660,430,440
600,D19,30,FOOTING,600,780,500,530
600,D22,30,FOOTING,960,1250,580,610
600,D25,30,FOOTING,1240,1610,660,690
600,D29,30,FOOTING,1660,2160,770,800
600,D32,30,FOOTING,2020,2630,850,880
600,D35,30,FOOTING,2420,3150,930,960
600,D10,30,BEAM_COLUMN,530,690,270,280
600,D13,30,BEAM_COLUMN,690,890,350,360
600,D16,30,BEAM_COLUMN,850,1100,430,440
600,D19,30,BEAM_COLUMN,1000,1300,500,530
600,D22,30,BEAM_COLUMN,1450,1880,580,610
600,D25,30,BEAM_COLUMN,1650,2140,660,690
600,D29,30,BEAM_COLUMN,1910,2480,770,800
600,D32,30,BEAM_COLUMN,2110,2740,850,880
600,D35,30,BEAM_COLUMN,2310,3000,930,960
600,D10,30,SLAB_WALL,320,420,270,280
600,D13,30,SLAB_WALL,510,660,350,360
600,D16,30,SLAB_WALL,730,940,430,440
600,D19,30,SLAB_WALL,970,1260,500,530
600,D22,30,SLAB_WALL,1540,2010,580,610
600,D25,30,SLAB_WALL,1900,2470,660,690
600,D29,30,SLAB_WALL,2410,3130,770,800
600,D32,30,SLAB_WALL,2810,3650,850,880
600,D35,30,SLAB_WALL,3230,4190,930,960
600,D10,35,FOOTING,300,380,250,260
600,D13,35,FOOTING,380,500,320,330
600,D16,35,FOOTING,470,610,390,410
600,D19,35,FOOTING,560,730,470,490
600,D22,35,FOOTING,890,1150,540,560
600,D25,35,FOOTING,1150,1490,610,640
600,D29,35,FOOTING,1540,2000,710,740
600,D32,35,FOOTING,1870,2440,780,820
600,D35,35,FOOTING,2240,2910,860,890
600,D10,35,BEAM_COLUMN,490,640,250,260
600,D13,35,BEAM_COLUMN,640,830,320,330
600,D16,35,BEAM_COLUMN,780,1020,390,410
600,D19,35,BEAM_COLUMN,930,1210,470,490
600,D22,35,BEAM_COLUMN,1340,1750,540,560
600,D25,35,BEAM_COLUMN,1530,1980,610,640
600,D29,35,BEAM_COLUMN,1770,2300,710,740
600,D32,35,BEAM_COLUMN,1950,2540,780,820
600,D35,35,BEAM_COLUMN,2130,2770,860,890
600,D10,35,SLAB_WALL,300,380,250,260
600,D13,35,SLAB_WALL,470,610,320,330
600,D16,35,SLAB_WALL,670,870,390,410
600,D19,35,SLAB_WALL,900,1170,470,490
600,D22,35,SLAB_WALL,1430,1860,540,560
600,D25,35,SLAB_WALL,1760,2290,610,640
600,D29,35,SLAB_WALL,2230,2900,710,740
600,D32,35,SLAB_WALL,2600,3380,780,820
600,D35,35,SLAB_WALL,2990,3880,860,890
600,D10,40,FOOTING,300,360,230,240
600,D13,40,FOOTING,360,470,300,320
600,D16,40,FOOTING,440,570,370,390
600,D19,40,FOOTING,520,680,440,460
600,D22,40,FOOTING,830,1080,510,530
600,D25,40,FOOTING,1070,1390,570,600
600,D29,40,FOOTING,1440,1870,670,700
600,D32,40,FOOTING,1750,2280,730,770
600,D35,40,FOOTING,2100,2720,800,850
600,D10,40,BEAM_COLUMN,460,600,230,240
600,D13,40,BEAM_COLUMN,600,770,300,320
600,D16,40,BEAM_COLUMN,730,950,370,390
600,D19,40,BEAM_COLUMN,870,1130,440,460
600,D22,40,BEAM_COLUMN,1260,1630,510,530
600,D25,40,BEAM_COLUMN,1430,1850,570,600
600,D29,40,BEAM_COLUMN,1660,2150,670,700
600,D32,40,BEAM_COLUMN,1830,2370,730,770
600,D35,40,BEAM_COLUMN,2000,2590,800,850
600,D10,40,SLAB_WALL,300,360,230,240
600,D13,40,SLAB_WALL,440,570,300,320
600,D16,40,SLAB_WALL,630,820,370,390
600,D19,40,SLAB_WALL,840,1090,440,460
600,D22,40,SLAB_WALL,1340,1740,510,530
600,D25,40,SLAB_WALL,1650,2140,570,600
600,D29,40,SLAB_WALL,2090,2710,670,700
600,D32,40,SLAB_WALL,2430,3160,730,770
600,D35,40,SLAB_WALL,2790,3630,800,850
